BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving;Duurzaam;Toepassing;Opmerking
34;33,375;375;Verwarming - Warmtepomp;Hybride WP Nibe AMS20-6 / HBS20-6 (R32);Algemeen isolatiemateriaal;nvt;nvt;1877,331;;€3.000;stuk;Hybride WP Nibe AMS20-6 / HBS20-6 (R32);0;Hybride warmtepomp;
34;33,38;380;Verwarming - Warmtepomp;All-E WP Nibe AMS20-6 / HBS20-6 (R32);Algemeen isolatiemateriaal;nvt;nvt;1984,921;;€3.400;stuk;All-E WP Nibe AMS20-6 / HBS20-6 (R32);0;All electric warmtepomp;
34;33,385;385;Verwarming - Warmtepomp;Hybride WP Nibe AMS20-10 / HBS20-10 (R32);Algemeen isolatiemateriaal;nvt;nvt;2635,8148;;€4.200;stuk;Hybride WP Nibe AMS20-10 / HBS20-10 (R32);0;Hybride warmtepomp;
34;33,39;390;Verwarming - Warmtepomp;All-E WP Nibe AMS20-10 / HBS20-10 (R32);Algemeen isolatiemateriaal;nvt;nvt;2743,4048;;€4.700;stuk;All-E WP Nibe AMS20-10 / HBS20-10 (R32);0;All electric warmtepomp;
34;33,395;395;Verwarming - Warmtepomp;All-E Itho Daalderop Vincent (R290);Algemeen isolatiemateriaal;nvt;nvt;255,338;;€2.600;stuk;All-E Itho Daalderop Vincent (R290);0;All electric warmtepomp;
34;33,4;400;Verwarming - Warmtepomp;Hybride Itho Daalderop Vincent (R290);Algemeen isolatiemateriaal;nvt;nvt;147,748;;€2.200;stuk;Hybride Itho Daalderop Vincent (R290);0;Hybride warmtepomp;
34;33,405;405;Verwarming - Warmtepomp;All-E Itho Daalderop Amber 6,5 (R290);Algemeen isolatiemateriaal;nvt;nvt;400,262;;€2.900;stuk;All-E Itho Daalderop Amber 6,5 (R290);0;All electric warmtepomp;
34;33,41;410;Verwarming - Warmtepomp;Hybride Itho Daalderop Amber 6,5 (R290);Algemeen isolatiemateriaal;nvt;nvt;260,192;;€2.400;stuk;Hybride Itho Daalderop Amber 6,5 (R290);0;Hybride warmtepomp;
34;33,415;415;Verwarming - Warmtepomp;All-E Itho Daalderop Amber 9,5 (R290);Algemeen isolatiemateriaal;nvt;nvt;416,899;;€3.100;stuk;All-E Itho Daalderop Amber 9,5 (R290);0;All electric warmtepomp;
34;33,42;420;Verwarming - Warmtepomp;Hybride Itho Daalderop Amber 9,5 (R290);Algemeen isolatiemateriaal;nvt;nvt;276,829;;€2.600;stuk;Hybride Itho Daalderop Amber 9,5 (R290);0;Hybride warmtepomp;
34;33,425;425;Verwarming - Warmtepomp;All-E Kronotherm Versi-I (R452B);Algemeen isolatiemateriaal;nvt;nvt;2459,375;;€3.800;stuk;All-E Kronotherm Versi-I (R452B);0;All electric warmtepomp;
34;33,43;430;Verwarming - Warmtepomp;Hybride Kronotherm Versi-I (R452B);Algemeen isolatiemateriaal;nvt;nvt;2351,785;;€3.300;stuk;Hybride Kronotherm Versi-I (R452B);0;Hybride warmtepomp;
34;33,435;435;Verwarming - Warmtepomp;All-E Mitsubishi SCR-M40V2-170E SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1345,476;;€3.500;stuk;All-E Mitsubishi SCR-M40V2-170E SET (R32);0;All electric warmtepomp;
34;33,44;440;Verwarming - Warmtepomp;Hybride Mitsubishi SHR-M40V-AER-SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1250,066;;€3.000;stuk;Hybride Mitsubishi SHR-M40V-AER-SET (R32);0;Hybride warmtepomp;
34;33,445;445;Verwarming - Warmtepomp;All-E Mitsubishi SCR-M60V2-170E SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1347,506;;€3.700;stuk;All-E Mitsubishi SCR-M60V2-170E SET (R32);0;All electric warmtepomp;
34;33,45;450;Verwarming - Warmtepomp;Hybride Mitsubishi SHR-M60V-AER-SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1252,096;;€3.200;stuk;Hybride Mitsubishi SHR-M60V-AER-SET (R32);0;Hybride warmtepomp;
34;33,455;455;Verwarming - Ketel;Hybride Intergas X-tend (R32);Algemeen isolatiemateriaal;nvt;nvt;1256,7645;;€2.900;stuk;Hybride Intergas X-tend (R32);0;Hybride warmtepomp;
34;33,36;360;Verwarming - Ketel;Gasketel - gemiddeld;Algemeen isolatiemateriaal;nvt;nvt;485,63;;€900;stuk;Gasketel - gemiddeld;0;Gasketel;Referentiegetal gasketel onafhankelijk van type of vermogen, getal is inclusief vervangen jaar 15
