BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving ;Duurzaam;Toepassing;Opmerking
34;33,245;245;Hellend dakisolatie;EPS 50% gerecycled;EPS isolatie parels/platen;234;6,3;nvt;nvt;27;m2;Schapenwol - 240  mm;1;Dakconstructie;
34;33,25;250;Hellend dakisolatie;EPS 50% gerecycled;EPS isolatie parels/platen;163;4,5;nvt;nvt;27;m2;EPS 50% gerecycled - 234 mm;1;Dakconstructie;
34;33,255;255;Hellend dakisolatie;EPS 50% gerecycled;EPS isolatie parels/platen;182;5;nvt;nvt;27;m2;EPS 50% gerecycled - 163 mm;1;Dakconstructie;
34;33,26;260;Kozijnen/Draaiend deel;Kunststof;Algemeen isolatiemateriaal;nvt;nvt;nvt;nvt;50;stuk;EPS 50% gerecycled - 182 mm;0;Woning algemeen;Let op is per m2 raam oppervlakte
34;33,265;265;Kozijnen/Draaiend deel;Aluminium VMRG keurmerk;Algemeen isolatiemateriaal;nvt;nvt;nvt;nvt;50;stuk;Kunststof;0;Woning algemeen;Let op is per m2 raam oppervlakte
34;33,27;270;Kozijnen/Draaiend deel;Hout;Algemeen isolatiemateriaal;nvt;nvt;nvt;nvt;50;stuk;Aluminium VMRG keurmerk;1;Woning algemeen;Let op is per m2 raam oppervlakte
34;33,275;275;Panelen;PUR/PIR platen;PUR/PIR hardschuim isolatie;50;2,3;nvt;;50;stuk;Hout;0;Woning algemeen;
34;33,28;280;Panelen;PUR/PIR platen;PUR/PIR hardschuim isolatie;60;2,75;nvt;;50;stuk;PUR/PIR platen - 50 mm;0;Woning algemeen;
34;33,285;285;Plat dakisolatie,Hellend dakisolatie;EPS platen;EPS isolatie parels/platen;189;6,3;nvt;;27;m2;PUR/PIR platen - 60 mm;0;Dakconstructie;
34;33,29;290;Plat dakisolatie,Hellend dakisolatie;PUR/PIR platen;PUR/PIR hardschuim isolatie;120;6,46;nvt;;50;m2;EPS platen - 189 mm;0;Dakconstructie;
34;33,295;295;Plat dakisolatie,Hellend dakisolatie;PUR/PIR platen;PUR/PIR hardschuim isolatie;160;6,38;nvt;;50;m2;PUR/PIR platen - 120 mm;0;Dakconstructie;
34;33,3;300;Plat dakisolatie,Hellend dakisolatie;PUR/PIR platen;PUR/PIR hardschuim isolatie;180;6,33;nvt;;50;m2;PUR/PIR platen - 160 mm;0;Dakconstructie;
34;33,305;305;Plat dakisolatie,Hellend dakisolatie;Houtvezelplaat;Algemeen isolatiemateriaal;240;6,65;nvt;;50;m2;PUR/PIR platen - 180 mm;1;Dakconstructie;
34;33,31;310;Rekenwaarde;Ijzer;Algemeen isolatiemateriaal;nvt;nvt;2.03;;50;stuk;Houtvezelplaat - 240 mm;0;Woning algemeen;
34;33,315;315;Ventilatie;Balansventilatie ITHO HRU ECO 300;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk;Ijzer;0;Balansventilatie;
34;33,32;320;Ventilatie;Balansventilatie ITHO HRU ECO 400;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk; Balansventilatie ITHO HRU ECO 300;0;Balansventilatie;
34;33,325;325;Ventilatie;Balansventilatie ITHO HRU 400;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk; Balansventilatie ITHO HRU ECO 350;0;Balansventilatie;
34;33,33;330;Ventilatie;Balansventilatie Zehnder ComfoAir Q350;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk; Balansventilatie ITHO HRU 400;0;Balansventilatie;
34;33,335;335;Ventilatie;Balansventilatie Zehnder ComfoAir Q450;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk;Balansventilatie Zehnder ComfoAir Q350;0;Balansventilatie;
34;33,34;340;Ventilatie;Balansventilatie Zehnder ComfoAir E300;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk;Balansventilatie Zehnder ComfoAir Q450;0;Balansventilatie;
34;33,345;345;Ventilatie;Balansventilatie Zehnder ComfoAir E350;Algemeen isolatiemateriaal;nvt;nvt;337;;50;stuk;Balansventilatie Zehnder ComfoAir E300;0;Balansventilatie;
34;33,35;350;Ventilatie;Mechanische ventilatie Zehnder Comfofan Silent;Algemeen isolatiemateriaal;nvt;nvt;77,1;;50;stuk;Balansventilatie Zehnder ComfoAir E350;0;Mechanische ventilatie;
34;33,355;355;Ventilatie;Mechanische ventilatie Itho CVE-S ECO;Algemeen isolatiemateriaal;nvt;nvt;77,1;;50;stuk;Mechanische ventilatie Zehnder Comfofan Silent;0;Mechanische ventilatie;
34;33,36;360;Verwarming;Gasketel - gemiddeld;Algemeen isolatiemateriaal;nvt;nvt;485,63;;50;stuk;Mechanische ventilatie Itho CVE-S ECO;0;Gasketel;Referentiegetal gasketel onafhankelijk van type of vermogen, getal is inclusief vervangen jaar 15
34;33,365;365;Verwarming;Hybride WP Nathan Paros 4 (R454B);Algemeen isolatiemateriaal;nvt;nvt;1763,9108;;50;stuk;Gasketel - gemiddeld;0;Hybride warmtepomp;Koudemiddel 1x vervangen na 15 jaar
34;33,37;370;Verwarming;All-E WP Nathan Paros 4 (R454B);Algemeen isolatiemateriaal;nvt;nvt;1871,5008;;50;stuk;Hybride WP Nathan Paros 4 (R454B);0;All electric warmtepomp;
34;33,375;375;Verwarming;Hybride WP Nibe AMS20-6 / HBS20-6 (R32);Algemeen isolatiemateriaal;nvt;nvt;1877,331;;50;stuk;All-E WP Nathan Paros 4 (R454B);0;Hybride warmtepomp;
34;33,38;380;Verwarming;All-E WP Nibe AMS20-6 / HBS20-6 (R32);Algemeen isolatiemateriaal;nvt;nvt;1984,921;;50;stuk;Hybride WP Nibe AMS20-6 / HBS20-6 (R32);0;All electric warmtepomp;
34;33,385;385;Verwarming;Hybride WP Nibe AMS20-10 / HBS20-10 (R32);Algemeen isolatiemateriaal;nvt;nvt;2635,8148;;50;stuk;All-E WP Nibe AMS20-6 / HBS20-6 (R32);0;Hybride warmtepomp;
34;33,39;390;Verwarming;All-E WP Nibe AMS20-10 / HBS20-10 (R32);Algemeen isolatiemateriaal;nvt;nvt;2743,4048;;50;stuk;Hybride WP Nibe AMS20-10 / HBS20-10 (R32);0;All electric warmtepomp;
34;33,395;395;Verwarming;All-E Itho Daalderop Vincent (R290);Algemeen isolatiemateriaal;nvt;nvt;255,338;;50;stuk;All-E WP Nibe AMS20-10 / HBS20-10 (R32);0;All electric warmtepomp;
34;33,4;400;Verwarming;Hybride Itho Daalderop Vincent (R290);Algemeen isolatiemateriaal;nvt;nvt;147,748;;50;stuk;All-E Itho Daalderop Vincent (R290);0;Hybride warmtepomp;
34;33,405;405;Verwarming;All-E Itho Daalderop Amber 6,5 (R290);Algemeen isolatiemateriaal;nvt;nvt;400,262;;50;stuk;Hybride Itho Daalderop Vincent (R290);0;All electric warmtepomp;
34;33,41;410;Verwarming;Hybride Itho Daalderop Amber 6,5  (R290);Algemeen isolatiemateriaal;nvt;nvt;260,192;;50;stuk;All-E Itho Daalderop Amber 6,5 (R290);0;Hybride warmtepomp;
34;33,415;415;Verwarming;All-E Itho Daalderop Amber 9,5 (R290);Algemeen isolatiemateriaal;nvt;nvt;416,899;;50;stuk;Hybride Itho Daalderop Amber 6,5  (R290);0;All electric warmtepomp;
34;33,42;420;Verwarming;Hybride Itho Daalderop Amber 9,5  (R290);Algemeen isolatiemateriaal;nvt;nvt;276,829;;50;stuk;All-E Itho Daalderop Amber 9,5 (R290);0;Hybride warmtepomp;
34;33,425;425;Verwarming;All-E Kronotherm Versi-I (R452B);Algemeen isolatiemateriaal;nvt;nvt;2459,375;;50;stuk;Hybride Itho Daalderop Amber 9,5  (R290);0;All electric warmtepomp;
34;33,43;430;Verwarming;Hybride Kronotherm Versi-I (R452B);Algemeen isolatiemateriaal;nvt;nvt;2351,785;;50;stuk;All-E Kronotherm Versi-I (R452B);0;Hybride warmtepomp;
34;33,435;435;Verwarming;All-E Mitsubishi SCR-M40V2-170E SET  (R32);Algemeen isolatiemateriaal;nvt;nvt;1345,476;;50;stuk;Hybride Kronotherm Versi-I (R452B);0;All electric warmtepomp;
34;33,44;440;Verwarming;Hybride Mitsubishi SHR-M40V-AER-SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1250,066;;50;stuk;All-E Mitsubishi SCR-M40V2-170E SET  (R32);0;Hybride warmtepomp;
34;33,445;445;Verwarming;All-E Mitsubishi SCR-M60V2-170E SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1347,506;;50;stuk;Hybride Mitsubishi SHR-M40V-AER-SET (R32);0;All electric warmtepomp;
34;33,45;450;Verwarming;Hybride Mitsubishi SHR-M60V-AER-SET (R32);Algemeen isolatiemateriaal;nvt;nvt;1252,096;;50;stuk;All-E Mitsubishi SCR-M60V2-170E SET (R32);0;Hybride warmtepomp;
34;33,455;455;Verwarming;Hybride Intergas X-tend (R32);Algemeen isolatiemateriaal;nvt;nvt;1256,7645;;50;stuk;Hybride Mitsubishi SHR-M60V-AER-SET (R32);0;Hybride warmtepomp;
34;33,46;460;Verwarming;Stadsverwarming ;Algemeen isolatiemateriaal;nvt;nvt;20,3;;50;stuk;Hybride Intergas X-tend (R32);0;Stadsverwarming;grove schatting
34;33,465;465;Verwarming;Intergas Kombi Kompakt HRE-A 28/24;Algemeen isolatiemateriaal;nvt;nvt;58,87;;50;stuk;Stadsverwarming ;0;Gasketel;
34;33,47;470;Verwarming;Intergas Kombi Kompakt HRE-A 36/30;Algemeen isolatiemateriaal;nvt;nvt;50,75;;50;stuk;Intergas Kombi Kompakt HRE-A 28/24;0;Gasketel;
34;33,475;475;Verwarming;Nefit ProLine NxT HRC;Algemeen isolatiemateriaal;nvt;nvt;38,57;;50;stuk;Intergas Kombi Kompakt HRE-A 36/30;0;Gasketel;
34;33,48;480;Verwarming;Intergas KK HRE28/24A;Algemeen isolatiemateriaal;nvt;nvt;485,63;;50;stuk;Nefit ProLine NxT HRC;0;Gasketel;Referentiegetal gasketel onafhankelijk van type of vermogen, getal is inclusief vervangen jaar 15
34;33,485;485;Zonne-energie;PV monokristallijn;Algemeen isolatiemateriaal;nvt;nvt;396,18;;50;stuk;Intergas KK HRE28/24A;0;PV paneel < 400 Wp;
34;33,49;490;Zonne-energie;PV Solarge;Algemeen isolatiemateriaal;nvt;nvt;279;;50;stuk;PV monokristallijn;1;PV paneel > 400 Wp;
34;33,495;495;Zonne-energie;PV Solarge;Algemeen isolatiemateriaal;nvt;nvt;269;;50;stuk;PV Solarge - 430 Wp;;PV paneel > 400 Wp;
34;33,5;500;Zonne-energie;PV Standaard;Algemeen isolatiemateriaal;nvt;nvt;396,18;;50;stuk;PV Solarge - 410 Wp;;PV paneel < 400 Wp;
34;33,505;505;Zonne-energie;PV standaard;Algemeen isolatiemateriaal;nvt;nvt;423,51;;50;stuk;PV standaard -380 Wp;;PV paneel > 400 Wp;
34;33,51;510;Zonne-energie;PV standaard;Algemeen isolatiemateriaal;nvt;nvt;459,95;;50;stuk;PV standaard - 410 Wp;;PV paneel > 400 Wp;
34;33,515;515;;PV standaard - 450 Wp;Algemeen isolatiemateriaal;;;;;50;stuk;PV standaard - 450 Wp;;Woning algemeen;
